"NUTS 3","Urban Code","City","City code","GDP","Employment","Population   (1-5)","Population            (XXL - S-M)","Sights & landmarks","Museums","Cinema seats","Concerts & shows","Theatres","Tourist overnight stays ","Museum visitors","Cinema attendance","Satisfaction with cultural facilities","Jobs in arts, culture & entertainment   ","Jobs in media & communication","Jobs in other creative sectors","ICT patent applications","Community design applications","Jobs in new arts, culture & entertainment enterprises","Jobs in new media & communication enterprises ","Jobs in new enterprises in other creative sectors","Graduates in arts and humanities","Graduates in ICT ","Average appearances in university rankings ","Foreign graduates","Foreign-born population","Tolerance of foreigners","Integration of foreigners","People trust","Passenger flights ","Potential road accessibility","Direct trains to other cities "," Quality of governance","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"DE300","DE001C1","Berlin","34","3","1","1","XXL","11.6","15.7","22.2","23.9","8.3","32.5","36.8","16.0","68.6","52.9","28.3","37.2","31.3","21.6","46.0","49.5","52.5","7.7","13.1","77.1","44.7","25.8","48.1","3.3","28.1","23.2","95.1","5.1","70.4","Yes","European Capital of Culture","28.16","40.81","34.75","34.54","17.01","39.31","39.47","26.49","49.32","32.63","30.03","41.10","70.39"
"DE600","DE002C1","Hamburg","35","1","1","1","XXL","7.4","7.8","14.1","19.6","10.7","25.8","8.5","11.7","60.0","41.9","36.7","53.3","15.4","45.0","28.5","43.3","29.5","5.8","8.4","27.1","51.8","40.3","63.0","20.0","53.1","23.2","88.9","7.2","77.2","No","At least two international cultural festivals","19.81","37.13","33.58","29.49","13.01","26.60","43.94","30.21","33.78","13.76","45.63","39.78","77.19"
"DE712","DE005C1","Frankfurt","36","1","1","2","XL","16.0","13.9","18.7","22.0","13.9","45.4","22.3","12.3","63.7","55.6","53.2","73.0","38.7","33.6","26.7","49.3","25.0","11.0","15.8","35.4","30.3","61.1","52.3","18.3","85.0","49.7","96.9","45.4","78.9","No","At least two international cultural festivals","25.99","44.93","41.59","36.69","17.39","34.59","60.60","36.15","33.65","20.73","49.40","63.98","78.88"
"DE92","DE013C1","Hannover","37","2","1","2","XL","12.4","4.7","17.6","10.6","12.5","14.2","7.9","20.0","41.4","52.2","33.8","49.6","28.5","30.8","57.6","33.2","51.0","10.2","15.4","29.2","17.6","42.8","52.3","18.3","34.4","12.8","90.1","33.2","84.0","No","UNESCO Creative City","17.08","42.92","31.53","30.31","12.33","21.82","45.18","29.64","47.30","18.25","33.07","45.36","83.97"
"DEA13","DE006C1","Essen","38","2","3","2","XL","5.8","1.8","24.0","9.4","5.7","7.9","25.3","4.9","47.1","33.6","20.4","47.9","10.6","9.9","31.5","44.6","38.4","9.3","24.9","20.8","14.1","33.6","35.2","16.7","43.8","37.3","99.4","54.7","75.9","No","European Capital of Culture","16.97","30.91","32.16","25.58","10.72","23.23","33.97","10.23","38.18","18.34","28.65","63.79","75.89"
"DEA23","DE004C1","Cologne","39","1","1","1","XXL","14.0","6.9","11.0","12.3","11.0","20.4","14.0","11.3","52.1","35.8","47.3","51.4","18.0","29.6","28.5","43.3","29.5","8.5","3.7","22.9","13.7","42.4","52.3","18.3","47.7","38.1","100.0","25.5","75.9","No","At least two international cultural festivals","18.12","36.23","30.61","27.86","11.19","25.04","44.86","23.84","33.78","11.71","34.88","54.53","75.89"
"DEA51","DE015C1","Bochum","40","2","3","3","L","0.0","3.8","25.8","4.4","9.0","4.6","10.7","19.3","22.4","30.5","10.2","26.9","29.9","12.9","52.8","25.7","42.3","24.9","9.9","25.0","12.5","32.7","52.3","18.3","58.8","37.3","98.3","50.8","75.9","No","At least two international cultural festivals","12.95","29.39","35.06","23.95","10.27","15.63","22.52","21.39","40.27","19.95","34.92","62.12","75.89"
"DED21","DE009C1","Dresden","41","4","1","2","XL","13.4","17.1","31.9","18.5","13.8","32.5","47.3","20.8","62.2","39.2","22.1","41.2","58.4","6.4","29.1","37.0","35.9","8.8","21.8","29.2","4.9","13.8","52.3","18.3","29.7","6.6","87.8","8.2","77.7","No","At least two international cultural festivals","30.85","33.76","26.51","31.15","19.85","41.85","34.20","32.43","34.00","19.94","23.80","34.19","77.68"
"DEG05","DE030C1","Weimar","42","3","3","5","S-M","59.2","72.0","45.1","38.5","12.8","41.2","100.0","30.8","40.5","60.1","7.8","33.8","40.0","24.8","7.2","6.0","9.5","35.9","16.1","0.0","5.1","17.0","52.3","18.3","52.1","3.6","88.4","80.3","70.8","No","European Capital of Culture","47.65","23.06","30.68","34.42","40.50","54.81","33.91","32.40","7.54","17.34","28.96","57.44","70.80"
"DK011","DK001C1","Copenhagen","43","1","1","2","XL","34.1","41.0","28.2","50.2","100.0","40.0","50.5","52.5","62.9","69.6","67.3","38.6","25.6","53.2","25.2","85.7","31.4","20.6","9.7","35.4","6.6","48.0","88.9","20.0","100.0","31.0","82.7","26.4","97.0","Yes","European Capital of Culture","53.55","50.26","41.68","49.86","53.98","53.12","58.51","39.41","47.44","21.88","52.68","46.69","97.02"
"DK042","DK002C1","Aarhus","44","2","1","3","L","64.9","17.6","24.0","13.6","57.8","5.0","29.1","27.4","7.8","35.7","33.4","31.7","21.2","58.6","4.3","4.7","2.7","3.2","0.0","35.4","35.1","34.4","88.9","20.0","26.0","6.9","70.1","8.7","100.0","No","European Capital of Culture","26.62","22.98","30.79","26","34.15","19.09","33.60","39.90","3.90","12.88","40.88","28.57","100.00"
"EE001","EE001C1","Tallinn","45","3","1","3","L","27.5","64.0","18.5","20.8","12.0","26.2","21.0","37.6","51.4","40.6","32.8","25.4","8.3","32.5","28.0","30.5","43.5","11.0","25.9","0.0","100.0","34.3","51.9","13.3","25.0","2.8","52.5","0.8","62.6","Yes","European Capital of Culture","29.72","30.83","28.81","29.98","24.26","35.18","32.93","20.39","33.96","12.29","44.89","18.70","62.62"
"EE008","EE002C1","Tartu","46","5","1","5","S-M","82.0","89.3","13.0","32.2","8.2","11.7","50.9","36.6","34.0","17.0","27.6","18.7","3.1","10.8","10.4","12.0","17.3","36.2","0.0","10.4","85.9","15.2","51.9","13.3","52.8","0.0","51.8","2.4","62.6","No","UNESCO Creative City","35.57","15.1","29.58","26.18","34.76","36.39","21.08","6.93","13.21","15.53","43.81","18.06","62.62"
