"NUTS 3","Urban Code","Country","City","City code","GDP","Employment","Population (1-5)","Population (XXL - S-M)","Capital","Reason chosen","Cultural Vibrancy","Creative economy","Enabling environment","Overall","D1.1 Cultural Venues & Facilities","D1.2 Cultural Participation & Attractiveness","D2.1 Creative & Knowledge-based Jobs","D2.2 Intellectual Property & Innovation","D2.3 New Jobs in Creative Sectors","D3.1 Human Capital & Education","D3.2 Openness, Tolerance & Trust ","D3.3 Local & International Connections","D3.4 Quality of Governance"
"ITH44","IT015C1","IT","Trieste","101","2","4","4","S-M","No","At least two international cultural festivals","32.01","18.81","20.06","24.34","38.46","25.57","29.25","13.43","11.05","12.27","16.59","34.03","68.17"
"ITH52","IT503C1","IT","Parma","102","2","2","4","S-M","No","UNESCO Creative City","33.74","21.27","22.04","26.41","28.50","38.98","31.10","22.58","10.78","12.74","18.23","41.59","68.17"
"ITH55","IT009C1","IT","Bologna","103","1","1","3","L","No","European Capital of Culture","28.36","35.44","31.18","31.76","29.03","27.68","58.58","34.13","12.96","34.26","20.60","43.37","54.62"
"ITH57","IT506C1","IT","Ravenna","104","3","5","4","S-M","No","European Capital of Culture","28.76","15.84","18.93","21.63","27.22","30.30","24.70","11.40","9.19","12.10","16.55","31.61","54.62"
"ITI14","IT007C1","IT","Florence","105","2","2","3","L","No","European Capital of Culture","54.37","19.23","28.71","35.18","55.12","53.63","26.29","18.12","12.73","20.26","30.86","39.26","47.37"
"ITI21","IT016C1","IT","Perugia","106","4","3","4","S-M","No","European Capital of Culture","26.09","23.06","18.61","23.38","27.71","24.47","30.63","33.16","10.45","19.83","10.71","26.57","48.25"
"ITI43","IT001C1","IT","Rome","107","2","4","1","XXL","Yes","UNESCO Creative City","22.73","33.74","21.66","26.92","24.11","21.35","56.58","9.47","23.02","24.45","12.15","38.50","24.92"
"LT002","LT002C1","LT","Kaunas","108","4","2","3","L","No","UNESCO Creative City","21.76","11.31","23.91","18.01","18.46","25.07","14.22","3.21","12.46","10.59","35.43","21.47","45.56"
"LT003","LT501C1","LT","Klaipeda","109","4","1","4","S-M","No","At least two international cultural festivals","30.35","9.26","24.98","20.84","30.96","29.74","11.68","2.35","10.29","7.52","41.96","19.39","45.56"
"LT00A","LT001C1","LT","Vilnius","110","2","1","2","XL","Yes","European Capital of Culture","18.96","45.82","29.43","31.8","18.02","19.91","24.70","19.23","80.24","19.94","39.96","21.23","45.56"
